City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Adrar,DZ,89.94,clear sky,27.8743,-0.2939,s.e.t.setif entenne d'adrar
287,Corrales,US,81.25,clear sky,35.2378,-106.6067,Quality Inn
288,Marsabit,KE,63.1,few clouds,2.3284,37.9899,Chicho Hotel
289,Gizo,SB,83.55,few clouds,-8.103,156.8419,Imagination Island
290,Touros,BR,72.55,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
291,Mana,GF,75.54,overcast clouds,5.6592,-53.7767,LE SAMANA
292,Orlik,RU,55.6,overcast clouds,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
293,Pemberton,CA,66.22,broken clouds,50.3164,-122.8027,Pemberton Valley Lodge
294,Husavik,IS,48.56,few clouds,66.0449,-17.3389,Bjarnabúð
296,Kouroussa,GN,68.92,overcast clouds,10.65,-9.8833,Hotel Tando Plus
297,Tirumullaivasal,IN,89.82,overcast clouds,11.2333,79.8333,Sundar Surendhar House
300,Antofagasta,CL,54.95,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
301,Victoria,CA,60.62,broken clouds,48.4329,-123.3693,Chateau Victoria Hotel & Suites
302,Traverse City,US,74.98,scattered clouds,44.7631,-85.6206,Bayshore Resort
303,Lososina,RU,59.23,overcast clouds,48.9975,140.3106,"Хостел ""Пилигрим"""
304,Ribeira Grande,PT,72.72,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
305,Bemidji,US,66.56,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
306,Vinh,VN,88.47,broken clouds,18.6667,105.6667,Vuong Hoan 2
307,Pisco,PE,57.74,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
308,Vercelli,IT,78.13,broken clouds,45.3231,8.4153,Hotel Cinzia Ristorante
309,Neuquen,AR,47.25,overcast clouds,-38.9516,-68.0591,Hotel del Comahue
310,Mont-Dore,NC,75.99,moderate rain,-22.2833,166.5833,GIte
311,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
312,Rock Sound,BS,82.42,clear sky,24.9,-76.2,Pink Corral Bay Property
313,Magole,TZ,71.85,few clouds,-6.3667,37.3667,Juma lubelwa
314,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
315,Haines Junction,CA,46.24,overcast clouds,60.7522,-137.5108,Parkside Inn
316,Saint-Georges,CA,62.67,scattered clouds,46.6247,-72.6577,Hôtel Écono-Confort
317,Carmagnola,IT,80.29,broken clouds,44.847,7.718,Albergo San Marco
319,Ahuimanu,US,79.75,clear sky,21.4447,-157.8378,Paradise Bay Resort
321,Namatanai,PG,83.64,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
322,Aden,YE,83.19,few clouds,12.7794,45.0367,Sama Emirate Hotel
323,Trabzon,TR,69.89,scattered clouds,40.9167,39.8333,SANDALS HOTEL
324,Puerto Quijarro,BO,68.45,clear sky,-17.7833,-57.7667,Hotel palance
325,Maragogi,BR,73.31,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
326,Sola,VU,80.02,few clouds,-13.8833,167.55,Leumerus Bungalows
327,North Bend,US,58.15,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
328,Caravelas,BR,69.12,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
