City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Hede,CN,33.7681,120.2517,82.42,71,100,18.97,overcast clouds
227,Fairfield,US,38.2494,-122.04,66.65,65,0,7.92,clear sky
228,Mahebourg,MU,-20.4081,57.7,74.25,78,75,16.11,broken clouds
229,Harper,LR,4.375,-7.7169,73.8,76,66,5.97,broken clouds
230,Steamboat Springs,US,40.485,-106.8317,72.9,51,0,0.0,clear sky
231,Qaqortoq,GL,60.7167,-46.0333,43.63,90,54,3.65,broken clouds
232,Komsomolets,KZ,53.7453,62.0708,75.18,51,1,7.2,clear sky
233,Mahina,PF,-17.5065,-149.489,76.77,69,20,8.05,light rain
234,Sunrise Manor,US,36.2111,-115.0731,101.25,16,87,5.79,overcast clouds
235,Rocky Mountain House,CA,52.3668,-114.9188,53.47,95,87,4.32,overcast clouds
236,Lavrentiya,RU,65.5833,-171.0,46.58,73,95,14.2,overcast clouds
237,Kieta,PG,-6.2167,155.6333,82.9,74,14,5.53,light rain
238,Poum,NC,-20.2333,164.0167,75.83,85,60,7.7,broken clouds
239,Benalla,AU,-36.55,145.9833,58.86,70,100,7.54,overcast clouds
240,Constitucion,CL,-35.3333,-72.4167,51.76,92,99,4.43,overcast clouds
241,Reconquista,AR,-29.15,-59.65,62.58,90,11,6.87,light rain
242,Cherskiy,RU,68.75,161.3,56.61,46,27,5.1,scattered clouds
243,High Level,CA,58.5169,-117.136,59.11,82,0,4.61,clear sky
244,Ambilobe,MG,-13.2,49.05,78.75,43,0,5.79,clear sky
245,Livadiya,RU,42.8692,132.6764,65.97,85,97,6.08,overcast clouds
246,Rognan,NO,67.0953,15.3878,51.89,45,100,3.56,overcast clouds
247,Bet Shemesh,IL,31.7496,34.9888,79.45,100,3,3.11,clear sky
248,Pevek,RU,69.7008,170.3133,34.23,92,70,4.7,broken clouds
249,Vila Velha,BR,-20.3297,-40.2925,69.75,88,75,3.44,broken clouds
250,Thunder Bay,CA,48.4001,-89.3168,60.78,88,20,3.44,few clouds
251,Nanortalik,GL,60.1432,-45.2371,45.1,85,35,1.66,scattered clouds
252,Rorvik,NO,64.8621,11.2373,52.12,80,39,10.38,scattered clouds
253,Ghatal,IN,22.6667,87.7167,92.35,55,97,12.08,overcast clouds
254,Berlevag,NO,70.8578,29.0864,57.0,67,100,11.5,overcast clouds
255,Big Bend,SZ,-26.8167,31.9333,77.97,100,9,1.14,clear sky
256,Okhotsk,RU,59.3833,143.3,65.46,77,57,8.48,broken clouds
257,Raga,SS,8.4596,25.678,69.84,96,76,8.01,light rain
258,Shubarkuduk,KZ,49.1447,56.4872,82.81,34,16,5.12,few clouds
259,Cidreira,BR,-30.1811,-50.2056,63.05,98,99,4.61,moderate rain
260,Mount Gambier,AU,-37.8333,140.7667,55.02,91,96,6.49,overcast clouds
261,Te Anau,NZ,-45.4167,167.7167,41.56,91,72,2.08,moderate rain
262,Myingyan,MM,21.4667,95.3833,90.72,54,100,10.47,overcast clouds
263,Fortuna,US,40.5982,-124.1573,58.93,83,27,1.99,scattered clouds
264,Wabana,CA,47.6332,-52.9481,66.78,92,100,8.05,overcast clouds
265,Kloulklubed,PW,7.0419,134.2556,77.5,76,100,10.94,moderate rain
266,Gambela,ET,8.25,34.5833,71.47,93,97,3.11,overcast clouds
267,Songkhla,TH,7.1988,100.5951,89.8,70,95,6.15,overcast clouds
268,Malakal,SS,9.5334,31.6605,80.29,73,91,4.23,light rain
269,Lorengau,PG,-2.0226,147.2712,85.1,69,46,8.77,scattered clouds
270,Havelock,US,34.8791,-76.9013,82.35,90,58,1.01,broken clouds
271,Vostok,RU,46.4856,135.8833,70.27,64,96,1.28,overcast clouds
272,Puerto Escondido,MX,15.85,-97.0667,80.19,83,84,4.05,broken clouds
273,Kathu,TH,7.9178,98.3332,86.7,99,98,6.53,overcast clouds
274,Kununurra,AU,-15.7667,128.7333,85.98,14,7,8.05,clear sky
275,Homer,US,59.6425,-151.5483,53.8,72,3,8.99,clear sky
276,Kharp,RU,66.8014,65.8081,57.11,51,10,5.91,clear sky
277,Kisangani,CD,0.5167,25.2,72.48,92,88,0.34,overcast clouds
278,Lagoa,PT,39.05,-27.9833,71.58,90,100,7.78,overcast clouds
279,Carutapera,BR,-1.195,-46.02,74.3,93,60,5.26,broken clouds
280,Olutanga,PH,7.3106,122.8464,81.59,73,99,3.18,overcast clouds
281,Kandrian,PG,-6.2167,149.55,84.7,71,26,12.64,scattered clouds
282,Oksfjord,NO,70.2396,22.3479,53.67,96,100,8.3,overcast clouds
283,Kindu,CD,-2.95,25.95,74.79,77,88,2.48,overcast clouds
284,Sur,OM,22.5667,59.5289,92.68,56,65,7.72,broken clouds
285,Watari,JP,38.035,140.8511,87.78,73,58,4.83,broken clouds
286,Adrar,DZ,27.8743,-0.2939,89.94,15,0,10.31,clear sky
287,Corrales,US,35.2378,-106.6067,81.25,42,0,10.0,clear sky
288,Marsabit,KE,2.3284,37.9899,63.1,58,12,21.81,few clouds
289,Gizo,SB,-8.103,156.8419,83.55,71,13,6.51,few clouds
290,Touros,BR,-5.1989,-35.4608,72.55,89,39,13.11,scattered clouds
291,Mana,GF,5.6592,-53.7767,75.54,91,98,6.29,overcast clouds
292,Orlik,RU,52.5178,99.825,55.6,79,100,2.93,overcast clouds
293,Pemberton,CA,50.3164,-122.8027,66.22,82,70,4.18,broken clouds
294,Husavik,IS,66.0449,-17.3389,48.56,87,15,1.43,few clouds
295,Omsukchan,RU,62.5333,155.8,64.27,35,5,8.19,clear sky
296,Kouroussa,GN,10.65,-9.8833,68.92,99,92,4.85,overcast clouds
297,Tirumullaivasal,IN,11.2333,79.8333,89.82,57,100,4.99,overcast clouds
298,Saint-Augustin,CA,51.226,-58.6502,54.95,97,100,4.36,overcast clouds
299,Yumen,CN,40.2833,97.2,91.08,11,0,14.97,clear sky
300,Antofagasta,CL,-23.65,-70.4,54.95,90,100,0.87,overcast clouds
301,Victoria,CA,48.4329,-123.3693,60.62,83,55,13.8,broken clouds
302,Traverse City,US,44.7631,-85.6206,74.98,68,33,10.38,scattered clouds
303,Lososina,RU,48.9975,140.3106,59.23,87,100,6.89,overcast clouds
304,Ribeira Grande,PT,38.5167,-28.7,72.72,87,85,6.73,overcast clouds
305,Bemidji,US,47.4736,-94.8803,66.56,98,0,0.0,clear sky
306,Vinh,VN,18.6667,105.6667,88.47,67,61,6.17,broken clouds
307,Pisco,PE,-13.7,-76.2167,57.74,89,17,1.72,few clouds
308,Vercelli,IT,45.3231,8.4153,78.13,78,52,2.8,broken clouds
309,Neuquen,AR,-38.9516,-68.0591,47.25,51,100,2.84,overcast clouds
310,Mont-Dore,NC,-22.2833,166.5833,75.99,99,100,4.21,moderate rain
311,Cayenne,GF,4.9333,-52.3333,77.09,1,0,0.0,clear sky
312,Rock Sound,BS,24.9,-76.2,82.42,76,2,14.97,clear sky
313,Magole,TZ,-6.3667,37.3667,71.85,64,17,1.63,few clouds
314,Kahului,US,20.8947,-156.47,76.84,85,14,11.99,few clouds
315,Haines Junction,CA,60.7522,-137.5108,46.24,89,100,4.61,overcast clouds
316,Saint-Georges,CA,46.6247,-72.6577,62.67,91,37,3.91,scattered clouds
317,Carmagnola,IT,44.847,7.718,80.29,75,79,1.72,broken clouds
318,Baykit,RU,61.67,96.37,75.61,55,100,7.61,overcast clouds
319,Ahuimanu,US,21.4447,-157.8378,79.75,76,2,7.0,clear sky
320,Rastu,RO,43.8833,23.2833,84.34,26,0,1.74,clear sky
321,Namatanai,PG,-3.6667,152.4333,83.64,66,20,8.63,few clouds
322,Aden,YE,12.7794,45.0367,83.19,75,21,3.31,few clouds
323,Trabzon,TR,40.9167,39.8333,69.89,57,40,3.44,scattered clouds
324,Puerto Quijarro,BO,-17.7833,-57.7667,68.45,53,0,1.99,clear sky
325,Maragogi,BR,-9.0122,-35.2225,73.31,87,78,8.79,broken clouds
326,Sola,VU,-13.8833,167.55,80.02,80,22,12.71,few clouds
327,North Bend,US,43.4065,-124.2243,58.15,97,3,1.01,clear sky
328,Caravelas,BR,-17.7125,-39.2481,69.12,85,5,4.05,clear sky
329,Isangel,VU,-19.55,169.2667,76.69,81,100,13.29,light rain
330,Okha,RU,53.5739,142.9478,62.37,62,100,9.93,overcast clouds
331,Lac Du Bonnet,CA,50.2536,-96.0612,60.76,83,82,4.36,broken clouds
332,Cazones,MX,20.7167,-97.3167,77.76,90,4,2.77,clear sky
333,Vaitape,PF,-16.5167,-151.75,79.0,74,12,13.29,light rain
334,San Jose De Ocoa,DO,18.55,-70.5,70.25,92,73,6.42,broken clouds
335,Xuddur,SO,4.1213,43.8894,75.65,57,33,22.37,scattered clouds
336,Spearfish,US,44.4908,-103.8594,85.87,22,0,18.01,clear sky
337,Alta,NO,69.9689,23.2717,52.86,82,100,3.44,overcast clouds
338,Conceicao Do Araguaia,BR,-8.2578,-49.2647,68.22,48,68,3.85,broken clouds
339,Yangambi,CD,0.8102,24.4336,71.38,90,97,3.29,overcast clouds
340,Oussouye,SN,12.485,-16.5469,75.85,94,100,9.53,light rain
341,Oxelosund,SE,58.6706,17.1015,57.58,94,75,8.05,mist
342,Dwarka,IN,22.2394,68.9678,83.32,80,97,17.92,overcast clouds
343,Novochernorechenskiy,RU,56.2669,91.0828,58.46,94,95,7.11,light rain
344,Harrison,US,40.969,-73.7126,85.06,84,11,4.92,few clouds
345,Nantucket,US,41.2835,-70.0995,78.91,77,100,5.75,fog
346,Berezovyy,RU,51.6667,135.7,74.93,54,96,5.82,overcast clouds
